Filename lefteye_x lefteye_y righteye_x righteye_y nose_x nose_y leftmouth_x leftmouth_y rightmouth_x rightmouth_y
125415.jpg 69 111 108 111 88 135 71 152 106 152 
111474.jpg 69 111 108 112 87 141 71 151 106 152 
051412.jpg 70 110 106 112 87 135 69 152 110 154 
088579.jpg 70 110 106 111 85 137 75 152 103 154 
078400.jpg 69 111 108 111 80 135 70 151 106 153 
086349.jpg 70 112 107 110 84 130 73 153 102 152 
013746.jpg 66 111 109 114 91 134 74 149 106 151 
111905.jpg 69 111 108 112 89 138 75 151 104 152 
157225.jpg 71 110 106 111 82 132 74 153 104 154 
105206.jpg 68 112 109 112 85 137 71 150 105 151 
083620.jpg 69 111 108 112 87 140 71 151 106 152 
118843.jpg 69 111 108 112 87 131 71 152 106 152 
119646.jpg 69 112 109 111 85 132 70 149 106 153 
089011.jpg 69 112 108 111 88 134 73 152 103 151 
113086.jpg 68 111 109 112 74 131 68 150 109 152 
055661.jpg 69 111 107 111 87 139 73 152 105 153 
134076.jpg 68 111 108 112 88 140 73 151 105 152 
081894.jpg 69 111 107 111 84 133 72 152 105 153 
055166.jpg 69 111 108 112 88 141 72 152 105 152 
029079.jpg 71 111 107 110 73 129 73 153 103 154 
041852.jpg 69 111 108 112 89 140 72 151 105 152 
021315.jpg 68 111 108 112 80 142 72 150 107 153 
050487.jpg 68 112 109 112 94 137 71 151 106 151 
062814.jpg 73 110 105 110 102 135 72 155 105 155 
057359.jpg 69 111 108 112 90 137 69 151 108 153 
123594.jpg 68 111 108 112 90 142 73 151 105 152 
020459.jpg 68 111 109 112 88 141 72 151 106 151 
130874.jpg 69 111 108 112 84 135 72 152 106 152 
039508.jpg 67 111 109 113 88 142 70 150 109 150 
084447.jpg 69 111 108 111 89 124 76 150 100 153 
187399.jpg 69 110 107 112 82 138 70 152 107 153 
190614.jpg 70 111 107 111 87 135 71 152 106 153 
187291.jpg 68 112 109 112 91 141 68 152 109 150 
200897.jpg 69 111 108 112 81 137 68 152 109 151 
