Impact of C Value on SVM Performance (Attributes)
======================================================================

Feature Type: Attributes
Training samples: 250, Test samples: 50
Feature dimension: 40

C Value            Accuracy     Misclassified  
----------------------------------------------------------------------
1.000000e-03       0.7400       13             
1.123324e-03       0.7400       13             
1.261857e-03       0.7400       13             
1.417474e-03       0.7400       13             
1.592283e-03       0.7600       12             
1.788650e-03       0.7800       11             
2.009233e-03       0.7800       11             
2.257020e-03       0.7800       11             
2.535364e-03       0.7800       11             
2.848036e-03       0.8000       10             
3.199267e-03       0.8000       10             
3.593814e-03       0.8200       9              
4.037017e-03       0.8600       7              
4.534879e-03       0.8600       7              
5.094138e-03       0.8600       7              
5.722368e-03       0.8400       8              
6.428073e-03       0.8600       7              
7.220809e-03       0.8600       7              
8.111308e-03       0.8600       7              
9.111628e-03       0.8600       7              
1.023531e-02       0.8800       6              
1.149757e-02       0.8800       6              
1.291550e-02       0.8800       6              
1.450829e-02       0.8800       6              
1.629751e-02       0.9000       5              
1.830738e-02       0.9200       4              
2.056512e-02       0.9200       4              
2.310130e-02       0.8800       6              
2.595024e-02       0.8800       6              
2.915053e-02       0.8800       6              
3.274549e-02       0.9000       5              
3.678380e-02       0.9000       5              
4.132012e-02       0.9000       5              
4.641589e-02       0.9000       5              
5.214008e-02       0.9000       5              
5.857021e-02       0.9000       5              
6.579332e-02       0.9000       5              
7.390722e-02       0.9000       5              
8.302176e-02       0.9000       5              
9.326033e-02       0.9000       5              
1.047616e-01       0.9000       5              
1.176812e-01       0.9000       5              
1.321941e-01       0.9000       5              
1.484968e-01       0.8800       6              
1.668101e-01       0.8800       6              
1.873817e-01       0.8800       6              
2.104904e-01       0.8600       7              
2.364489e-01       0.8600       7              
2.656088e-01       0.8600       7              
2.983647e-01       0.8600       7              
3.351603e-01       0.8800       6              
3.764936e-01       0.8800       6              
4.229243e-01       0.8800       6              
4.750810e-01       0.8600       7              
5.336699e-01       0.8600       7              
5.994843e-01       0.8600       7              
6.734151e-01       0.8600       7              
7.564633e-01       0.8600       7              
8.497534e-01       0.8600       7              
9.545485e-01       0.8800       6              
1.072267e+00       0.8600       7              
1.204504e+00       0.8600       7              
1.353048e+00       0.8400       8              
1.519911e+00       0.8400       8              
1.707353e+00       0.8400       8              
1.917910e+00       0.8400       8              
2.154435e+00       0.8400       8              
2.420128e+00       0.8400       8              
2.718588e+00       0.8400       8              
3.053856e+00       0.8800       6              
3.430469e+00       0.8800       6              
3.853529e+00       0.8800       6              
4.328761e+00       0.8800       6              
4.862602e+00       0.8800       6              
5.462277e+00       0.8800       6              
6.135907e+00       0.8800       6              
6.892612e+00       0.8800       6              
7.742637e+00       0.8800       6              
8.697490e+00       0.8800       6              
9.770100e+00       0.8800       6              
1.097499e+01       0.8800       6              
1.232847e+01       0.8800       6              
1.384886e+01       0.8800       6              
1.555676e+01       0.8800       6              
1.747528e+01       0.8800       6              
1.963041e+01       0.8600       7              
2.205131e+01       0.8600       7              
2.477076e+01       0.8600       7              
2.782559e+01       0.8600       7              
3.125716e+01       0.8600       7              
3.511192e+01       0.8600       7              
3.944206e+01       0.8600       7              
4.430621e+01       0.8600       7              
4.977024e+01       0.8600       7              
5.590810e+01       0.8600       7              
6.280291e+01       0.8600       7              
7.054802e+01       0.8600       7              
7.924829e+01       0.8600       7              
8.902151e+01       0.8600       7              
1.000000e+02       0.8600       7              

======================================================================
Best C Value: 1.830738e-02
Best Accuracy: 0.9200
Minimum Misclassified: 4
