Impact of C Value on SVM Performance (Raw Images)
======================================================================

Feature Type: Raw Images
Training samples: 250, Test samples: 50
Feature dimension: 116412

C Value            Accuracy     Misclassified  
----------------------------------------------------------------------
1.000000e-06       0.3000       35             
1.149757e-06       0.3000       35             
1.321941e-06       0.3400       33             
1.519911e-06       0.3600       32             
1.747528e-06       0.3400       33             
2.009233e-06       0.3600       32             
2.310130e-06       0.3400       33             
2.656088e-06       0.3800       31             
3.053856e-06       0.4000       30             
3.511192e-06       0.4400       28             
4.037017e-06       0.4200       29             
4.641589e-06       0.4600       27             
5.336699e-06       0.5400       23             
6.135907e-06       0.5400       23             
7.054802e-06       0.5400       23             
8.111308e-06       0.5400       23             
9.326033e-06       0.5600       22             
1.072267e-05       0.5400       23             
1.232847e-05       0.5400       23             
1.417474e-05       0.5600       22             
1.629751e-05       0.5800       21             
1.873817e-05       0.6000       20             
2.154435e-05       0.6200       19             
2.477076e-05       0.6400       18             
2.848036e-05       0.6200       19             
3.274549e-05       0.6200       19             
3.764936e-05       0.6400       18             
4.328761e-05       0.6000       20             
4.977024e-05       0.6000       20             
5.722368e-05       0.6000       20             
6.579332e-05       0.6000       20             
7.564633e-05       0.6200       19             
8.697490e-05       0.6200       19             
1.000000e-04       0.6200       19             
1.149757e-04       0.6200       19             
1.321941e-04       0.6200       19             
1.519911e-04       0.6200       19             
1.747528e-04       0.6200       19             
2.009233e-04       0.6200       19             
2.310130e-04       0.6200       19             
2.656088e-04       0.6200       19             
3.053856e-04       0.6200       19             
3.511192e-04       0.6200       19             
4.037017e-04       0.6200       19             
4.641589e-04       0.6200       19             
5.336699e-04       0.6200       19             
6.135907e-04       0.6200       19             
7.054802e-04       0.6200       19             
8.111308e-04       0.6200       19             
9.326033e-04       0.6200       19             
1.072267e-03       0.6200       19             
1.232847e-03       0.6200       19             
1.417474e-03       0.6200       19             
1.629751e-03       0.6200       19             
1.873817e-03       0.6200       19             
2.154435e-03       0.6200       19             
2.477076e-03       0.6200       19             
2.848036e-03       0.6200       19             
3.274549e-03       0.6200       19             
3.764936e-03       0.6200       19             
4.328761e-03       0.6200       19             
4.977024e-03       0.6200       19             
5.722368e-03       0.6200       19             
6.579332e-03       0.6200       19             
7.564633e-03       0.6200       19             
8.697490e-03       0.6200       19             
1.000000e-02       0.6200       19             
1.149757e-02       0.6200       19             
1.321941e-02       0.6200       19             
1.519911e-02       0.6200       19             
1.747528e-02       0.6200       19             
2.009233e-02       0.6200       19             
2.310130e-02       0.6200       19             
2.656088e-02       0.6200       19             
3.053856e-02       0.6200       19             
3.511192e-02       0.6200       19             
4.037017e-02       0.6200       19             
4.641589e-02       0.6200       19             
5.336699e-02       0.6200       19             
6.135907e-02       0.6200       19             
7.054802e-02       0.6200       19             
8.111308e-02       0.6200       19             
9.326033e-02       0.6200       19             
1.072267e-01       0.6200       19             
1.232847e-01       0.6200       19             
1.417474e-01       0.6200       19             
1.629751e-01       0.6200       19             
1.873817e-01       0.6200       19             
2.154435e-01       0.6200       19             
2.477076e-01       0.6200       19             
2.848036e-01       0.6200       19             
3.274549e-01       0.6200       19             
3.764936e-01       0.6200       19             
4.328761e-01       0.6200       19             
4.977024e-01       0.6200       19             
5.722368e-01       0.6200       19             
6.579332e-01       0.6200       19             
7.564633e-01       0.6200       19             
8.697490e-01       0.6200       19             
1.000000e+00       0.6200       19             

======================================================================
Best C Value: 2.477076e-05
Best Accuracy: 0.6400
Minimum Misclassified: 18
